Name,Link,SKU,Supplier,Price_Inc_VAT,All_Images,Region,Brand,Quantity,Pieces_in_Pack,Pack_Size,Coverage_M2,Volume_M3,Product_Length_M,Product_Width,Product_Thickness,Product_Weight_Kg,Product_Type,Material,Unit_Type,Pack_Type,description
REFURB DEWALT DCH033 3KG 18V 2 X 4.0AH LI-ION XR BRUSHLESS CORDLESS SDS PLUS DRILL,https://www.screwfix.com/p/refurb-dewalt-dch033-3kg-18v-2-x-4-0ah-li-ion-xr-brushless-cordless-sds-plus-drill/537px,537PX,Screwfix,159.99,"https://media.screwfix.com/is/image/ae235/537PX_P, https://media.screwfix.com/is/image/ae235/537PX_A7",UK (Default),DEWALT,1,1,1,N/A,N/A,0.383,N/A,N/A,3 kg,SDS Plus,N/A,N/A,N/A,"SDS plus drill with rotation stop mode for light chiselling in plaster, tiles and render. Impact stop mode for rotary only drilling in wood and metal. Features a reverse function allowing for easy bit removal. Ideal for drilling anchor and fixing holes into concrete, brick and masonry from 4-22mm. Compact, lightweight and ergonomic design for comfort and support during extended operating periods. Features brushless motor with thermal overload protection.

Key Features:
• 2 x 4.0Ah Li-Ion Batteries
• 60min Charge Time
• Drill, Hammer Drill & Chisel
• Max. Impact Energy: 2J
• No Anti-Vibration System
• Mechanical Clutch
• All-Metal Gearing
• Electronic Brake
• Trigger Switch
• Single-Speed Variable"
REFURB DEWALT DCD778M2T-SFGB 18V 2 X 4.0AH LI-ION XR BRUSHLESS CORDLESS COMBI DRILL,https://www.screwfix.com/p/refurb-dewalt-dcd778m2t-sfgb-18v-2-x-4-0ah-li-ion-xr-brushless-cordless-combi-drill/479pt,479PT,Screwfix,159.99,"https://media.screwfix.com/is/image/ae235/479PT_P, https://media.screwfix.com/is/image/ae235/479PT_A7",UK (Default),DEWALT,1,1,1,N/A,N/A,0.24,N/A,N/A,1.85 kg,Combi Drill,N/A,N/A,PACK,"DEWALT DCD778M2T-SFGB 18V XR brushless cordless combi drill delivers powerful and efficient performance for drilling and screwdriving applications. An advanced brushless motor ensures extended run time and durability, ideal for electricians and general builders working with masonry, wood, and steel, and the 13mm keyless chuck allows quick bit changes. Features 65Nm torque and 15 torque settings, plus drill and hammer drill modes, to offer precise control. An integrated LED work light illuminates dark areas, and the ergonomic soft-grip handle enhances user comfort. Supplied with 2 x 4.0Ah Li-Ion batteries and a TSTAK compatible carry case for convenient transport and storage.

Key Features:
• 2 x 4.0Ah Li-Ion Batteries
• 100min Charge Time
• Max. Torque: 65Nm
• 15 Torque Settings + Drill + Hammer Drill
• 13mm Keyless Chuck
• 2-Speed
• All-Metal Gearing
• Electronic Brake
• LED Work Light
• Spindle Lock"
REFURB ERBAUER ERI1078SDS 2.72KG 18V LI-ION EXT BRUSHLESS CORDLESS SDS PLUS DRILL - BARE,https://www.screwfix.com/p/refurb-erbauer-eri1078sds-2-72kg-18v-li-ion-ext-brushless-cordless-sds-plus-drill-bare/361ex,361EX,Screwfix,95.99,https://media.screwfix.com/is/image/ae235/361EX_P,UK (Default),Erbauer,1,1,1,N/A,N/A,0.34800000000000003,N/A,N/A,2.72 kg,SDS Plus,N/A,N/A,N/A,"Erbauer EXT 18V SDS hammer drill with V2 brushless motor, delivering up to 50% more power than the previous model. Features 4 functions and an adjustable angle, to suit any project. Suitable for use on demanding materials, providing performance and reliability in applications such as breaking up concrete or chiseling tiles. Anti-vibration system and handle help minimise vibrations and maximiise comfort during extended use.

Key Features:
• Drill, Hammer Drill, Chisel & Chisel Adjustment
• Max. Impact Energy: 3J
• Anti-Vibration System
• All-Metal Safety Clutch
• Nylon Gearbox
• Electronic Brake
• Trigger Switch
• Variable Speed
• Brushless Motor
• Does Not Include Battery or Charger"
REFURB MAKITA DTM52Z 18V LI-ION LXT BRUSHLESS CORDLESS MULTI-TOOL - BARE,https://www.screwfix.com/p/refurb-makita-dtm52z-18v-li-ion-lxt-brushless-cordless-multi-tool-bare/585fu,585FU,Screwfix,167.99,"https://media.screwfix.com/is/image/ae235/585FU_P, https://media.screwfix.com/is/image/ae235/585FU_A2",UK (Default),Makita,1,1,1,N/A,N/A,0.276,N/A,N/A,1.7 kg,Multi-Tool,N/A,N/A,N/A,"Compact and lightweight cordless multi-tool with brushless motor, powered by 18V Li-ion LXT slide-type battery (sold separately). Offers variable and constant speed control for constant speed under load, and delivers up to 20,000 oscillations per minute. Oscillation angle of 3.6° offers faster cutting and sanding. Suitable for use on a variety of materials, including wood and wooden flooring, tiles, plaster and sheetrock. Features soft start, LED work light, slide switch for continuous use, anti-restart function for added safety, easy to grip small diameter body, tool-less accessory clamp and 12 angle settings every 30°, from 0° to 360°. Anti-Vibration Technology and battery protection circuit protect the battery from damage due to overheating, over-discharge and overload current. Compatible with Starlock, Starlock Plus and Starlock Max accessories (sold separately). Not compatible with G-Series batteries.

Key Features:
• Single-Speed Variable
• Starlock Quick-Release Blade Change
• All-Metal Gearbox
• Sliding Switch
• LED Work Light
• Soft-Grip Handle
• Brushless Motor
• Does Not Include Battery or Charger"
MAKITA M3601 900W 6MM & 8MM ELECTRIC ROUTER 240V,https://www.screwfix.com/p/makita-m3601-900w-6mm-8mm-electric-router-240v/935rj,935RJ,Screwfix,51.99,"https://media.screwfix.com/is/image/ae235/935RJ_P, https://media.screwfix.com/is/image/ae235/935RJ_A2",UK (Default),Makita,1,1,1,N/A,N/A,N/A,N/A,N/A,2.7 kg,Router,N/A,N/A,N/A,"Robust and reliable router designed for competent home users, apprentices and part-time tradespeople. Flat-top design with raised ribs for added convenience when changing bits. High quality performance and durability. Easy to read depth scale and chip deflector. Features an ergonomically-designed handle and conveniently located plunge lock lever for efficient operation. Can be connected to a dust extractor and guide rail.

Key Features:
• Fixed Speed
• Parallel Fence
• Dust Ejection Facility
• Spindle Lock
• Depth Adjustment
• Hard Start
• Trigger Switch
• Supplied With Plunge Base
• Constant Speed
• Replaceable Carbon Brushes"
REFURB MAKITA JR3051TK/1 1200W ELECTRIC RECIPROCATING SAW 110V,https://www.screwfix.com/p/refurb-makita-jr3051tk-1-1200w-electric-reciprocating-saw-110v/792kh,792KH,Screwfix,103.99,"https://media.screwfix.com/is/image/ae235/792KH_P, https://media.screwfix.com/is/image/ae235/792KH_A1",UK (Default),Makita,1,1,1,N/A,N/A,0.447,N/A,N/A,3.3 kg,Reciprocating Saw,N/A,N/A,N/A,"High-powered, lightweight reciprocating saw for cutting metal, wood, plastic, cast iron and fibreglass. Features one touch tool-less blade change, all-metal gearbox, and soft-grip handle. Compact design.

Key Features:
• Variable Speed
• Tool-Free Blade Change
• Single-Position Shoe
• All-Metal Gearbox
• Replaceable Carbon Brushes
• Without Work Light
• Electronic Brake
• Fan-Cooled Motor
• Soft-Grip Handle"
REFURB MAKITA DHS680Z 165MM 18V LI-ION LXT BRUSHLESS CORDLESS CIRCULAR SAW - BARE,https://www.screwfix.com/p/refurb-makita-dhs680z-165mm-18v-li-ion-lxt-brushless-cordless-circular-saw-bare/122rk,122RK,Screwfix,151.19,"https://media.screwfix.com/is/image/ae235/122RK_P, https://media.screwfix.com/is/image/ae235/122RK_A4",UK (Default),Makita,1,1,1,N/A,N/A,0.293,N/A,N/A,3 kg,Circular Saw,N/A,N/A,N/A,"Makita DHS680Z 18V LXT brushless cordless circular saw offers high efficiency and powerful performance for professional trade applications. The compact and lightweight design ensures comfortable handling, making it ideal for demanding site work and various timber cutting applications such as framing, roofing, and general carpentry. Features advanced automatic speed control to maintain optimum performance under load, while the built-in dust blower keeps the cutting line clear. The durable power tool is built for tough working conditions, and includes Makita XPT system for enhanced dust and water resistance in harsh weather. The circular saw delivers a maximum cutting depth of 57mm with a 165mm blade. Supplied with blade, hex key, rip fence and dust nozzle.

Key Features:
• Max. Cut: 57mm
• 24-Tooth TCT Blade Included
• Die-Cast Magnesium Base & Die-Cast Magnesium Guard
• Electronic Brake
• No Riving Knife Required
• Trigger Switch
• Spindle Lock
• Rip Fence
• Twin LED Work Lights
• Does Not Include Battery or Charger"
REFURB DEWALT DCF787D2T-SFGB 18V 2 X 2.0AH LI-ION XR BRUSHLESS CORDLESS IMPACT DRIVER,https://www.screwfix.com/p/refurb-dewalt-dcf787d2t-sfgb-18v-2-x-2-0ah-li-ion-xr-brushless-cordless-impact-driver/487px,487PX,Screwfix,95.99,"https://media.screwfix.com/is/image/ae235/487PX_P, https://media.screwfix.com/is/image/ae235/487PX_A2",UK (Default),DEWALT,1,1,1,N/A,N/A,0.137,N/A,N/A,1.2 kg,Impact Driver,N/A,N/A,N/A,"Brushless motor delivers more run-time over brushed motors. Compact and lightweight design fits into tight areas. Ergonomic comfort-grip handle provides ideal balance and tool control.

Key Features:
• 2 x 2.0Ah Li-Ion Batteries
• 90min Charge Time
• Max. Torque: 170Nm
• 6.35mm Hex Tool Holder
• Variable Speed
• Fan-Cooled Motor
• All-Metal Gearing
• Electronic Brake
• Soft-Grip Handle
• LED Work Light"
ERBAUER EBID18LI 18V 1 X 2.0AH LI-ION EXT CORDLESS IMPACT DRIVER,https://www.screwfix.com/p/erbauer-ebid18li-18v-1-x-2-0ah-li-ion-ext-cordless-impact-driver/954pp,954PP,Screwfix,65.99,"https://media.screwfix.com/is/image/ae235/954PP_P, https://media.screwfix.com/is/image/ae235/954PP_A1",UK (Default),Erbauer,1,1,1,N/A,N/A,0.156,N/A,N/A,1.3 kg,Impact Driver,N/A,N/A,N/A,"High torque impact driver with brushed motor and LED light for work in poorly lit areas. Part of the Erbauer EXT and EXT EliteCell, one battery system, running multiple tools for increased flexibility. Compatible with all Erbauer 18V EXT and EXT EliteCell batteries and chargers.

Key Features:
• 1 x 2.0Ah Li-Ion Battery
• 60min Charge Time
• Max. Torque: 120Nm
• 6.35mm Hex Tool Holder
• Variable Speed
• Fan-Cooled Motor
• Nylon Gearbox
• Electronic Brake
• Soft-Grip Handle
• LED Work Light"
REFURB MILWAUKEE M18 BPP2Q-402C 18V 2 X 4.0AH LI-ION REDLITHIUM CORDLESS TWIN PACK,https://www.screwfix.com/p/refurb-milwaukee-m18-bpp2q-402c-18v-2-x-4-0ah-li-ion-redlithium-cordless-twin-pack/722px,722PX,Screwfix,143.99,"https://media.screwfix.com/is/image/ae235/722PX_P, https://media.screwfix.com/is/image/ae235/722PX_A7",UK (Default),Milwaukee,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,Impact Driver,N/A,N/A,PACK,"Milwaukee M18 BPP2Q-402C 18V Twin Pack features a compact but powerful percussion drill and impact driver, with a high performance 4-pole motor, offering high torque with maximum power-to-weight ratio. Combi drill features a 2-speed gearbox and provides 60Nm torque, and the impact driver with full metal, 1/4"" hex chuck delivers 180Nm torque for maximum performance. RedLink battery and overload protection help prevent damage under load, increasing system durability. Supplied with 2 x 4.0Ah RedLithium batteries, compatible with all Milwaukee M18 cordless tools, fast 80-minute charger, and durable blow-moulded case for easy transport and storage. Ideal for daily professional use.

Key Features:
• 1 x 18V Combi Drill 60 Nm
• 1 x 18V Impact Driver 180 Nm
• 2 x 18V 4.0Ah Li-Ion Batteries
• 1 x 80min Multi-Voltage Charger
• 1 x Blow-Moulded Case(s)"
